127.0.0.1 - - [03/Jun/2022:20:50:01 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:50:03 +0900] "GET /project/searchIdPw.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:50:03 +0900] "GET /project/css/main.css HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:50:03 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:50:05 +0900] "POST /project/searchIdPw.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:50:31 +0900] "POST /project/searchIdPw.jsp HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:50:38 +0900] "POST /project/searchIdPw.jsp HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:55:25 +0900] "GET /project/searchIdPw.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:55:25 +0900] "GET /project/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:57:14 +0900] "GET /project/searchIdPw.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:57:14 +0900] "GET /project/searchIdPw.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [03/Jun/2022:20:57:14 +0900] "GET /project/searchIdPw.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [03/Jun/2022:21:18:15 +0900] "GET /project/user/main.html HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [03/Jun/2022:21:18:32 +0900] "GET /project/user/contact.html HTTP/1.1" 200 18307
0:0:0:0:0:0:0:1 - - [03/Jun/2022:21:18:32 +0900] "GET /project/user/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [03/Jun/2022:21:18:32 +0900] "GET /project/user/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [03/Jun/2022:21:18:32 +0900] "GET /project/user/css/owl.carousel.min.css HTTP/1.1" 200 3351
